activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18961453,[],CHEMBL4334291,Inhibition of C-terminal His6-tagged unlinked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H]([C@@H](C)CC)NC1=O,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.39', 'le': None, 'lle': None, 'sei': None}",CHEMBL4538618,,CHEMBL4538618,5.50,0,http://www.openphacts.org/units/Nanomolar,3163579,=,1,1,=,,IC50,nM,,3200.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,3.2
,18977972,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)Nc2nc3cc(O)c(O)cc3s2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '11.40', 'le': '0.23', 'lle': '1.12', 'sei': '4.04'}",CHEMBL4459657,,CHEMBL4459657,5.19,0,http://www.openphacts.org/units/Nanomolar,3165802,=,1,1,=,,IC50,nM,,6430.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,6.43
,18977973,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(S(=O)(=O)NCC(=O)Nc2nc3cc(O)c(O)cc3s2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '15.48', 'le': '0.32', 'lle': '4.16', 'sei': '4.74'}",CHEMBL4456436,,CHEMBL4456436,6.09,0,http://www.openphacts.org/units/Nanomolar,3165801,=,1,1,=,,IC50,nM,,810.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,0.81
,18977974,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3nc4cc(O)c(O)cc4s3)CC2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '11.68', 'le': '0.24', 'lle': '2.17', 'sei': '4.36'}",CHEMBL4441226,,CHEMBL4441226,5.22,0,http://www.openphacts.org/units/Nanomolar,3165799,=,1,1,=,,IC50,nM,,5950.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,5.95
,18977975,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(S(=O)(=O)N2CCCC(C(=O)Nc3nc4cc(O)c(O)cc4s3)C2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '11.94', 'le': '0.24', 'lle': '2.28', 'sei': '4.46'}",CHEMBL4470313,,CHEMBL4470313,5.34,0,http://www.openphacts.org/units/Nanomolar,3165798,=,1,1,=,,IC50,nM,,4550.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,4.55
,18977976,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(S(=O)(=O)N2CCCC[C@H]2C(=O)Nc2nc3cc(O)c(O)cc3s2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '14.06', 'le': '0.29', 'lle': '3.09', 'sei': '5.25'}",CHEMBL4453301,,CHEMBL4453301,6.29,0,http://www.openphacts.org/units/Nanomolar,3165797,=,1,1,=,,IC50,nM,,510.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,0.51
,18977977,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(S(=O)(=O)N2CCCC[C@@H]2C(=O)Nc2nc3cc(O)c(O)cc3s2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '13.94', 'le': '0.28', 'lle': '3.04', 'sei': '5.20'}",CHEMBL4515653,,CHEMBL4515653,6.24,0,http://www.openphacts.org/units/Nanomolar,3165796,=,1,1,=,,IC50,nM,,580.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,0.58
,18977978,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)Nc1ccc2cc(S(=O)(=O)N3CCC[C@H]3C(=O)Nc3nc4cc(O)c(O)cc4s3)ccc2c1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '10.50', 'le': '0.21', 'lle': '1.92', 'sei': '3.71'}",CHEMBL4572802,,CHEMBL4572802,5.53,0,http://www.openphacts.org/units/Nanomolar,3165795,=,1,1,=,,IC50,nM,,2950.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,2.95
,18977979,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)Nc1ccc2cc(S(=O)(=O)N3CCC[C@@H]3C(=O)Nc3nc4cc(O)c(O)cc4s3)ccc2c1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '11.15', 'le': '0.22', 'lle': '2.26', 'sei': '3.94'}",CHEMBL4471100,,CHEMBL4471100,5.87,0,http://www.openphacts.org/units/Nanomolar,3165794,=,1,1,=,,IC50,nM,,1350.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,1.35
,18977980,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1nc2cc(O)c(O)cc2s1)[C@@H]1CCCN1S(=O)(=O)c1cccc([N+](=O)[O-])c1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '12.38', 'le': '0.25', 'lle': '3.34', 'sei': '3.53'}",CHEMBL4524903,,CHEMBL4524903,5.75,0,http://www.openphacts.org/units/Nanomolar,3165793,=,1,1,=,,IC50,nM,,1780.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,1.78
,18977981,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1nc2cc(O)c(O)cc2s1)[C@H]1CCCN1S(=O)(=O)c1cccc([N+](=O)[O-])c1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '12.82', 'le': '0.26', 'lle': '3.54', 'sei': '3.65'}",CHEMBL4445009,,CHEMBL4445009,5.96,0,http://www.openphacts.org/units/Nanomolar,3165792,=,1,1,=,,IC50,nM,,1110.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,1.11
,18977982,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1nc2cc(O)c(O)cc2s1)[C@@H]1CCCN1S(=O)(=O)c1ccc(-c2ccccc2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '11.10', 'le': '0.22', 'lle': '1.33', 'sei': '4.59'}",CHEMBL4531974,,CHEMBL4531974,5.50,0,http://www.openphacts.org/units/Nanomolar,3165791,=,1,1,=,,IC50,nM,,3170.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,3.17
,18977983,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1nc2cc(O)c(O)cc2s1)[C@H]1CCCN1S(=O)(=O)c1ccc(-c2ccccc2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '11.31', 'le': '0.23', 'lle': '1.44', 'sei': '4.68'}",CHEMBL4517802,,CHEMBL4517802,5.61,0,http://www.openphacts.org/units/Nanomolar,3165790,=,1,1,=,,IC50,nM,,2470.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,2.47
,18977984,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1nc2cc(O)c(O)cc2s1)[C@@H]1CCCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '12.99', 'le': '0.27', 'lle': '3.62', 'sei': '3.70'}",CHEMBL4583315,,CHEMBL4583315,6.03,0,http://www.openphacts.org/units/Nanomolar,3165789,=,1,1,=,,IC50,nM,,930.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,0.93
,18977985,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1nc2cc(O)c(O)cc2s1)[C@H]1CCCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '13.98', 'le': '0.29', 'lle': '4.08', 'sei': '3.99'}",CHEMBL4462325,,CHEMBL4462325,6.50,0,http://www.openphacts.org/units/Nanomolar,3165788,=,1,1,=,,IC50,nM,,320.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,0.32
,18977986,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2nc3cc(O)c(O)cc3s2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '13.08', 'le': '0.27', 'lle': '3.37', 'sei': '4.56'}",CHEMBL4454156,,CHEMBL4454156,5.88,0,http://www.openphacts.org/units/Nanomolar,3165787,=,1,1,=,,IC50,nM,,1320.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,1.32
,18977987,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(S(=O)(=O)N2CCC[C@@H]2C(=O)Nc2nc3cc(O)c(O)cc3s2)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '13.49', 'le': '0.28', 'lle': '3.56', 'sei': '4.70'}",CHEMBL4588811,,CHEMBL4588811,6.07,0,http://www.openphacts.org/units/Nanomolar,3165786,=,1,1,=,,IC50,nM,,860.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,0.86
,18977988,[],CHEMBL4338583,Inhibition of N-terminal hexa-histidine tagged Zika virus NS2B/NS3 protease expressed in Escherichia coli BL21-Gold (DE3) using fluorogenic AMC-substituted peptide boc-GRR-7-amino-4-methylcoumarin measured every 30 secs for 10 mins by fluorometric assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1nc2cc(O)c(O)cc2s1)[C@@H]1CCCN1S(=O)(=O)c1ccc(Cl)cc1,,,CHEMBL4334527,J Med Chem,2019,"{'bei': '13.29', 'le': '0.28', 'lle': '2.88', 'sei': '5.03'}",CHEMBL4466174,,CHEMBL4466174,6.03,0,http://www.openphacts.org/units/Nanomolar,3165785,=,1,1,=,,IC50,nM,,930.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,0.93
